,title,price,year,link,brand,age
42,2007 toyota camry v6 xle,4100,2007.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2007-toyota-camry-v6-xle/7785001447.html,toyota,18.0
43,1994 chevy s10,4000,1994.0,https://charlottesville.craigslist.org/cto/d/palmyra-1994-chevy-s10/7784965289.html,chevy,31.0
44,toyota 4runner,3500,,https://charlottesville.craigslist.org/cto/d/quinque-toyota-4runner/7784875544.html,toyota,
45,1962 m38-a1 military jeep,1500,1962.0,https://charlottesville.craigslist.org/cto/d/scottsville-1962-m38-a1-military-jeep/7784860520.html,jeep,63.0
46,2010 avalanche,5500,2010.0,https://charlottesville.craigslist.org/cto/d/mineral-2010-avalanche/7784792017.html,missing,15.0
47,dodge m37 powerwagon,6000,,https://charlottesville.craigslist.org/cto/d/piney-river-dodge-m37-powerwagon/7784758445.html,dodge,
48,"2018 toyota tacoma truck sr5 4wd double cab, 6 cyl, auto, 30,000 miles",30550,2018.0,https://charlottesville.craigslist.org/cto/d/louisa-2018-toyota-tacoma-truck-sr5-4wd/7784680777.html,toyota,7.0
49,2003 toyota highlander,3300,2003.0,https://charlottesville.craigslist.org/cto/d/lovingston-2003-toyota-highlander/7784607564.html,toyota,22.0
50,2011 chrysler town and country,2500,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-chrysler-town-and/7784233445.html,missing,14.0
51,2006 mitsubishi endeavor awd ls,2500,2006.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2006-mitsubishi/7784157813.html,mitsubishi,19.0
52,2019 hyundai kona excellent condition,15000,2019.0,https://charlottesville.craigslist.org/cto/d/barboursville-2019-hyundai-kona/7783977835.html,missing,6.0
53,2011 bmw 328i xdrive sedan 4d,6000,2011.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2011-bmw-328i-xdrive/7783905386.html,bmw,14.0
54,2004 dodge durango,2000,2004.0,https://charlottesville.craigslist.org/cto/d/stanardsville-2004-dodge-durango/7783863430.html,dodge,21.0
55,2012 ford focus se,3500,2012.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2012-ford-focus-se/7783801610.html,ford,13.0
56,2008 ford escape xlt 4x4 3.0,1500,2008.0,https://charlottesville.craigslist.org/cto/d/earlysville-2008-ford-escape-xlt-4x4-30/7783759838.html,ford,17.0
57,mercedes 560sl,15000,,https://charlottesville.craigslist.org/cto/d/charlottesville-mercedes-560sl/7783648170.html,missing,
58,2013 honda fit sport hatchback,8700,2013.0,https://charlottesville.craigslist.org/cto/d/afton-2013-honda-fit-sport-hatchback/7783561831.html,honda,12.0
59,1986 ford e350 centurion,11500,1986.0,https://charlottesville.craigslist.org/cto/d/helena-1986-ford-e350-centurion/7783532418.html,ford,39.0
60,2014 honda odyssey van black,12000,2014.0,https://charlottesville.craigslist.org/cto/d/scottsville-2014-honda-odyssey-van-black/7783477164.html,honda,11.0
61,military truck w/crane,6200,,https://charlottesville.craigslist.org/cto/d/free-union-military-truck-crane/7783324663.html,missing,
62,volvo s40 4dr sedan 2004 power everything sun roof,2000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-volvo-s40-4dr-sedan/7783322114.html,volvo,21.0
63,"2004 honda accord for sale $5,000 or best offer",5000,2004.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2004-honda-accord-for/7783266346.html,honda,21.0
64,2003 honda pilot,1000,2003.0,https://charlottesville.craigslist.org/cto/d/charlottesville-2003-honda-pilot/7783239203.html,honda,22.0
65,2002 chevy tahoe 4wd,4000,2002.0,https://charlottesville.craigslist.org/cto/d/montpelier-station-2002-chevy-tahoe-4wd/7783219894.html,chevy,23.0
66,2008 nissan altima,2450,2008.0,https://charlottesville.craigslist.org/cto/d/ruckersville-2008-nissan-altima/7783180089.html,missing,17.0
67,2016 tesla model s 90d,26000,2016.0,https://charlottesville.craigslist.org/cto/d/crozet-2016-tesla-model-90d/7783168254.html,tesla,9.0
68,2010 volkswagen golf,4950,2010.0,https://charlottesville.craigslist.org/cto/d/henrico-2010-volkswagen-golf/7783125171.html,volkswagen,15.0
69,1963 /1965 triumph tr4 convertible,2250,1963.0,https://charlottesville.craigslist.org/cto/d/woodberry-forest-triumph-tr4-convertible/7782965513.html,missing,62.0
70,1998 jeep grande cherokee laredo,3000,1998.0,https://charlottesville.craigslist.org/cto/d/waynesboro-1998-jeep-grande-cherokee/7782899240.html,jeep,27.0
